# machine: AMD Ryzen 7 9800X3D 8-Core Processor            | Microsoft Windows 10.0.26200 | .NET 8.0.13 | cores 16 | gc workstation/batch | utc 2026-08-28T12:32:08.2699450+00:00
# settings: iters=15 warmup=5 rounds=3 shuffle=True seed=12345 gc-inclusive=False memory-runs=3 surtr-gc=automatic processes=9
# processes=N: every *_ms column is the fastest of N fresh processes (the op-cache-friendly state), not a within-process median; state_spread_pct is how far the slowest state was; memory columns are the fastest process's.
workload,size,surtr_ms,lua_ms,luajit_ms,csharp_ms,surtr_alloc_bytes,surtr_alloc_objects,surtr_kept_objects,surtr_heap_bytes,csharp_alloc_bytes,state_spread_pct,processes,ok,diagnostic_only,extreme_engines
fib,24,3.043,23.241,0.218,0.082,0,0,0,13312,0,7.2,9,ok,0,
intLoop,1000000,7.754,87.692,4.612,2.302,0,0,0,13312,0,8.7,9,ok,0,
tightGuard,1000000,4.203,47.613,0.192,0.191,0,0,0,13312,0,3.5,9,ok,0,
floatLoop,1000000,6.064,56.964,1.146,1.145,0,0,0,13312,0,4.6,9,ok,0,
mathFns,100000,7.986,48.704,1.333,1.531,0,0,0,13312,0,9.9,9,ok,0,
arrayFill,50000,0.765,6879.390,0.508,0.148,56,1,1,13312,1048936,3.7,9,ok,0,lua
arrayIndex,300000,5.442,72.730,1.383,0.690,56,1,1,13312,4264,3.1,9,ok,0,
dictOps,30000,0.856,5.476,0.258,0.218,1960008,1,1,13312,1959944,7.8,9,ok,0,
dictMembers,30000,1.329,12.686,0.408,0.376,1960008,1,1,13312,1959944,4.9,9,ok,0,
dictString,300000,6.261,48.877,1.383,2.051,12936,130,130,13312,7816,71.3,9,ok,0,
stringConcat,1200,0.060,0.154,0.149,0.039,1528776,1200,1200,106496,1471176,5.0,9,ok,0,
stringInterp,100000,9.212,28.279,5.899,2.398,25572720,300000,2,212992,17572720,17.8,9,ok,0,
stringOps,300000,4.394,49.306,2.766,1.375,0,0,0,13312,0,3.7,9,ok,0,
stringTransform,100000,9.388,165.403,15.398,3.433,24000000,200000,3,212992,14400000,10.1,9,ok,0,
closures,300000,6.973,47.513,1.387,0.688,0,0,0,13312,0,4.3,9,ok,0,
closureCreate,300000,10.030,78.269,6.550,0.688,0,0,0,13312,0,18.6,9,ok,0,
methodGroupInvoke,300000,10.099,77.851,1.377,0.687,0,0,0,13312,0,6.1,9,ok,0,
closureCapture,300000,10.036,90.728,1.435,1.123,216,2,2,13312,120,5.1,9,ok,0,
methodCalls,300000,3.555,75.380,1.380,0.744,72,1,1,13312,24,7.5,9,ok,0,
localModule,300000,7.789,24.593,1.496,0.745,0,0,0,13312,0,4.3,9,ok,0,
crossModule,300000,8.025,24.236,1.494,0.744,0,0,0,13312,0,5.7,9,ok,0,
virtualCalls,300000,6.161,53.635,1.376,0.687,40,1,1,13312,0,3.1,9,ok,0,
interfaceCalls,300000,10.298,55.046,1.376,0.687,40,1,1,13312,0,3.4,9,ok,0,
fieldAccess,300000,5.534,68.238,1.379,0.687,80,1,1,13312,32,6.8,9,ok,0,
propertyAccess,300000,3.623,133.049,1.376,0.687,72,1,1,13312,24,3.6,9,ok,0,
exceptions,8000,0.574,34.494,8.987,20.692,576000,8000,8000,212992,1600000,10.3,9,ok,0,
forIn,50000,0.523,6605.351,0.498,0.148,56,1,1,212992,1048936,8.0,9,ok,0,lua
forInDict,50000,1.488,13.921,0.481,0.518,4072208,2,2,13312,4072064,11.8,9,ok,0,
iterator,50000,2.237,6869.617,0.514,0.189,120,2,2,13312,1048976,8.3,9,ok,0,lua
genYield,50000,1.447,14.378,1.106,0.119,192,1,1,13312,56,2.6,9,ok,0,
handIterator,50000,1.825,23.262,0.233,0.124,80,1,1,13312,32,2.6,9,ok,0,
genDelegate,50000,1.505,37.001,3.394,0.338,544,3,3,13312,168,4.4,9,ok,0,
genSend,50000,7.218,22.935,1.227,0.115,2000200,50001,4,212992,40,6.6,9,ok,0,
