# machine: AMD Ryzen 7 9800X3D 8-Core Processor            | Microsoft Windows 10.0.26200 | .NET 8.0.13 | cores 16 | gc workstation/batch | utc 2026-08-26T20:10:59.4400700+00:00
# settings: iters=15 warmup=5 rounds=3 shuffle=True seed=12345 gc-inclusive=False memory-runs=5 surtr-gc=automatic processes=9
# processes=N: every *_ms column is the fastest of N fresh processes (the op-cache-friendly state), not a within-process median; state_spread_pct is how far the slowest state was; memory columns are the fastest process's.
workload,size,surtr_ms,csharp_ms,surtr_alloc_bytes,surtr_alloc_objects,surtr_kept_objects,surtr_heap_bytes,csharp_alloc_bytes,state_spread_pct,processes,ok
fib,24,2.866,0.175,0,0,0,13312,0,4.3,9,ok
intLoop,1000000,9.759,2.301,0,0,0,13312,0,11.1,9,ok
tightGuard,1000000,7.046,0.191,0,0,0,13312,0,4.3,9,ok
floatLoop,1000000,8.495,1.144,0,0,0,13312,0,6.3,9,ok
mathFns,100000,7.944,1.543,0,0,0,13312,0,7.4,9,ok
arrayFill,50000,0.863,0.213,56,1,1,13312,1048936,4.4,9,ok
arrayIndex,300000,6.147,0.690,56,1,1,13312,4264,5.3,9,ok
dictOps,30000,0.918,0.218,1960008,1,1,13312,1959944,1.9,9,ok
dictMembers,30000,1.393,0.378,1960008,1,1,13312,1959944,4.1,9,ok
dictString,300000,6.798,1.840,12936,130,130,13312,7816,62.9,9,ok
stringConcat,1200,0.065,0.039,1528776,1200,1200,106496,1471176,13.8,9,ok
stringInterp,100000,8.924,2.365,25572720,300000,2,212992,17572720,9.6,9,ok
stringOps,300000,4.874,1.375,0,0,0,13312,0,9.9,9,ok
stringTransform,100000,9.553,3.301,24000000,200000,3,212992,14400000,19.8,9,ok
closures,300000,7.181,0.687,0,0,0,13312,0,5.6,9,ok
closureCreate,300000,10.025,0.689,0,0,0,13312,0,5.0,9,ok
methodGroupInvoke,300000,10.534,0.687,0,0,0,13312,0,3.9,9,ok
closureCapture,300000,10.486,1.118,216,2,2,13312,120,5.1,9,ok
methodCalls,300000,4.326,0.744,72,1,1,13312,24,10.4,9,ok
localModule,300000,8.261,0.744,0,0,0,13312,0,4.8,9,ok
crossModule,300000,8.570,0.745,0,0,0,13312,0,3.7,9,ok
virtualCalls,300000,6.367,0.687,40,1,1,13312,0,7.9,9,ok
interfaceCalls,300000,10.528,0.687,40,1,1,13312,0,2.9,9,ok
fieldAccess,300000,6.892,0.687,80,1,1,13312,32,6.5,9,ok
propertyAccess,300000,4.484,0.688,72,1,1,13312,24,9.5,9,ok
exceptions,8000,0.465,19.935,576000,8000,8000,212992,1600000,2.2,9,ok
forIn,50000,0.618,0.213,56,1,1,13312,1048936,3.4,9,ok
forInDict,50000,2.021,0.374,4072208,2,2,13312,4072064,4.4,9,ok
iterator,50000,3.178,0.262,120,2,2,13312,1048976,7.7,9,ok
genYield,50000,1.509,0.117,192,1,1,13312,56,7.9,9,ok
handIterator,50000,1.871,0.124,80,1,1,13312,32,8.3,9,ok
genDelegate,50000,1.541,0.369,544,3,3,13312,168,8.8,9,ok
genSend,50000,6.809,0.115,2000200,50001,4,212992,40,5.7,9,ok
genFinally,50000,1.605,0.129,200,1,1,13312,56,3.1,9,ok
interop,300000,4.861,0.744,0,0,0,13312,0,15.3,9,ok
valueClass,300000,2.883,0.687,0,0,0,13312,0,9.5,9,ok
generics,300000,20.770,0.752,33600000,600000,4,212992,7200000,3.2,9,ok
allocation,300000,15.775,0.829,24000000,300000,2,212992,9600000,3.3,9,ok
retainedObjects,100000,7.286,0.239,8000056,100001,25004,851968,3724624,3.7,9,ok
switchDense,300000,5.498,0.689,0,0,0,13312,0,7.5,9,ok
typeTest,300000,7.494,1.375,40,1,1,13312,0,8.4,9,ok
nullable,300000,5.603,0.688,0,0,0,13312,0,4.6,9,ok
enums,300000,7.104,0.706,0,0,0,13312,0,10.2,9,ok
sortArray,20000,10.514,0.829,56,1,1,13312,524624,4.2,9,ok
sortBytecode,20000,17.345,0.833,112,2,2,13312,524624,2.3,9,ok
tuples,300000,4.224,0.802,0,0,0,13312,0,9.2,9,ok
vec2Math,300000,28.463,0.487,0,0,0,13312,0,3.7,9,ok
vec2Fields,300000,30.578,0.860,96,1,1,13312,48,2.6,9,ok
vec2Class,300000,49.127,1.057,48000160,600002,6,212992,19200064,1.9,9,ok
tupleReturn,300000,9.869,0.767,0,0,0,13312,0,8.3,9,ok
